 Year , Grapefruit , Lemons ,  Oranges , Tangerines ,    Apples ,   Avocados , Cherries , Grapes , Nectarines , Olives , Peaches
 1998 ,"284,229","92,776","237,562","199,114","1,002,709","136,649","703,590","177,452","238,350"," 798,968 ","11,982,796"
 1999 ,"294,055","101,448","196,539","109,072","1,145,876","187,867","687,742","330,398","250,738"," 880,775 ","12,016,211"
 2000 ,"288,196","101,530","187,462","100,851","1,045,413","222,536","666,487","238,768","296,360"," 876,397 ","12,385,416"
 2001 ,"273,206","96,337","216,077","113,646","1,069,259","187,004","740,012","201,101","341,600"," 785,512 ","11,904,046"
 2002 ,"253,197","100,616","184,936","182,783","1,164,270","212,426","1,200,687","165,033","329,940"," 1,001,690 ","12,773,903"
 2003 ,"267,829","101,470","224,302","209,834","1,377,277","247,529","1,600,144","277,629","378,160"," 983,520 ","13,580,875"
 2004 ,"286,293","83,104","202,191","202,670","1,297,723","296,981","2,189,005","326,924","451,750"," 1,405,435 ","15,208,366"
 2005 ,"295,600","79,288","179,475","219,985","1,399,161","381,777","2,525,909","406,920","557,350"," 1,532,702 ","17,137,528"
 2006 ,"307,595","73,652","274,186","278,888","1,523,089","560,092","2,258,790","322,493","563,980"," 1,396,049 ","17,254,259"
 2007 ,"363,092",   na,"223,483","332,092","1,751,108","614,106","2,401,875","433,644","751,120"," 1,285,345 ","18,651,692"
 2008 ,"396,081",   na,"256,378","457,192","1,918,288","591,842","2,343,200","271,687","558,080"," 1,224,799 ","18,645,523"
 2009 ,"355,662",   na,"267,535","305,669","2,129,585","517,325","2,293,500","430,388","747,270"," 1,342,857 ","19,178,580"
 2010 ,"386,955",   na,"259,225","299,123","2,260,733","643,861","2,903,380","674,828","1,028,160"," 1,744,420 ","21,612,927"
 2011 ,"366,552",   na,"248,557","345,561","2,391,406","880,269","4,007,860","655,889","1,336,900"," 1,528,524 ","24,166,286"
 2012 ,"432,988",   na,"269,768","385,506","2,453,039","841,663","4,816,860","475,991","1,505,910"," 2,080,661 ","28,107,818"
 2013 ,"430,660",   na,"241,696","287,322","2,609,038","815,561","6,384,690","460,390","1,825,320"," 2,672,402 ","30,214,108"
 2014 ,"467,194",   na,"368,662","254,412","2,821,854","889,188","7,388,000","516,591","1,907,140"," 3,167,349 ","32,248,510"
 2015 ,"494,190",   na,"321,962","261,853","2,239,301","866,760","5,868,750","560,216","1,012,020"," 2,020,431 ","28,447,492"
 2016 ,"485,763",   na,"205,180","292,292","3,243,711","747,839","5,052,460","696,806","1,274,650"," 2,354,950 ","29,698,085"
 2017 ,"519,290",   na,"322,797","252,088","2,895,813","833,469","5,603,950","709,218","1,568,700"," 1,986,905 ","30,588,949"
 2018 ,"428,940",   na,"267,617","245,762","2,416,285","821,110","5,602,500","421,531","916,650"," 3,071,280 ","29,317,722"
 2019 ,"308,763",   na,"267,303","270,213","2,593,530","942,921","6,169,100","470,999","1,237,950"," 2,586,791 ","28,770,303"
 2020 ,"341,482",   na,"234,582","290,987","2,228,950","932,352","5,619,930","435,279","957,700",   na,   na
